Period,Big_Small
20250512100050319,1
20250512100050320,1
20250512100050330,1
20250512100050330,1
20250512100050331,0
20250512100050331,0
20250512100050332,0
20250512100050332,0
20250512100050333,0
20250512100050333,0
20250512100050334,1
20250512100050334,1
20250512100050335,0
20250512100050335,0
20250512100050336,1
20250512100050336,1
20250512100050337,0
20250512100050337,0
20250512100050338,0
20250512100050338,0
20250512100050339,0
20250512100050339,0
20250512100050340,0
20250512100050341,1
20250512100050342,0
20250512100050343,1
20250512100050344,0
20250512100050346,1
20250512100050347,1
20250512100050348,0
20250512100050349,1
20250512100050360,0
20250512100050360,0
20250512100050361,0
20250512100050361,0
20250512100050362,0
20250512100050362,0
20250512100050363,1
20250512100050363,1
20250512100050364,1
20250512100050364,1
20250512100050365,1
20250512100050366,0
20250512100050366,0
20250512100050367,0
20250512100050367,0
20250512100050368,0
20250512100050368,0
20250512100050369,1
20250512100050369,1
20250512100050370,0
20250512100050371,0
20250512100050372,0
20250512100050373,1
20250512100050374,1
20250512100050375,0
20250512100050376,0
20250512100050377,1
20250512100050378,0
20250512100050379,0
20250512100050380,1
20250512100050381,1
20250512100050382,0
20250512100050383,0
20250512100050384,1
20250512100050385,1
20250512100050386,0
20250512100050387,0
20250512100050388,0
20250512100050389,0
20250512100050390,0
20250512100050390,0
20250512100050391,0
20250512100050391,0
20250512100050392,0
20250512100050392,0
20250512100050393,1
20250512100050393,1
20250512100050394,1
20250512100050394,1
20250512100050395,1
20250512100050395,1
20250512100050396,0
20250512100050396,0
20250512100050397,1
20250512100050397,1
20250512100050398,1
20250512100050398,1
20250512100050399,1
20250512100050399,1
20250512100050410,0
20250512100050410,0
20250512100050410,0
20250512100050410,0
20250512100050411,1
20250512100050411,1
20250512100050411,1
20250512100050411,1
20250512100050412,0
20250512100050412,0
20250512100050412,0
20250512100050412,0
20250512100050413,0
20250512100050413,0
20250512100050413,0
20250512100050413,0
20250512100050414,1
20250512100050414,1
20250512100050415,1
20250512100050415,1
20250512100050415,1
20250512100050415,1
20250512100050416,0
20250512100050416,0
20250512100050416,0
20250512100050416,0
20250512100050417,1
20250512100050417,1
20250512100050417,1
20250512100050417,1
20250512100050418,0
20250512100050418,0
20250512100050418,0
20250512100050418,0
20250512100050419,0
20250512100050419,0
20250512100050419,0
20250512100050419,0
20250512100050420,0
20250512100050420,0
20250512100050421,1
20250512100050421,1
20250512100050422,0
20250512100050422,0
20250512100050423,1
20250512100050423,1
20250512100050424,0
20250512100050424,0
20250512100050425,1
20250512100050425,1
20250512100050426,0
20250512100050426,0
20250512100050427,1
20250512100050427,1
20250512100050428,0
20250512100050428,0
20250512100050429,1
20250512100050429,1
20250512100050429,1
20250512100050429,1
20250512100050430,1
20250512100050430,1
20250512100050431,0
20250512100050431,0
20250512100050432,0
20250512100050432,0
20250512100050433,0
20250512100050433,0
20250512100050434,0
20250512100050434,0
20250512100050435,0
20250512100050435,0
20250512100050436,0
20250512100050436,0
20250512100050437,1
20250512100050437,1
20250512100050438,1
20250512100050438,1
20250512100050449,0
20250512100050449,0
20250512100050449,0
20250512100050449,0
20250512100050450,0
20250512100050450,0
20250512100050450,0
20250512100050450,0
20250512100050451,0
20250512100050451,0
20250512100050451,0
20250512100050451,0
20250512100050452,0
20250512100050452,0
20250512100050452,0
20250512100050452,0
20250512100050453,0
20250512100050453,0
20250512100050453,0
20250512100050453,0
20250512100050454,0
20250512100050454,0
20250512100050454,0
20250512100050454,0
20250512100050455,0
20250512100050455,0
20250512100050455,0
20250512100050455,0
20250512100050456,0
20250512100050456,0
20250512100050456,0
20250512100050456,0
20250512100050457,1
20250512100050457,1
20250512100050457,1
20250512100050457,1
20250512100050458,1
20250512100050458,1
20250512100050458,1
20250512100050458,1
20250512100050469,0
20250512100050469,0
20250512100050469,0
20250512100050469,0
20250512100050470,1
20250512100050470,1
20250512100050470,1
20250512100050470,1
20250512100050471,0
20250512100050471,0
20250512100050471,0
20250512100050471,0
20250512100050472,0
20250512100050472,0
20250512100050472,0
20250512100050472,0
20250512100050473,1
20250512100050473,1
20250512100050473,1
20250512100050473,1
20250512100050474,0
20250512100050474,0
20250512100050474,0
20250512100050474,0
20250512100050475,1
20250512100050475,1
20250512100050475,1
20250512100050475,1
20250512100050476,0
20250512100050476,0
20250512100050476,0
20250512100050476,0
20250512100050477,1
20250512100050477,1
20250512100050477,1
20250512100050477,1
20250512100050478,1
20250512100050478,1
20250512100050478,1
20250512100050478,1
20250512100050479,1
20250512100050479,1
20250512100050480,0
20250512100050480,0
20250512100050481,0
20250512100050481,0
20250512100050482,0
20250512100050482,0
20250512100050483,0
20250512100050483,0
20250512100050484,0
20250512100050484,0
20250512100050485,0
20250512100050485,0
20250512100050486,1
20250512100050486,1
20250512100050487,0
20250512100050487,0
20250512100050488,1
20250512100050488,1
20250512100050489,1
20250512100050489,1
20250512100050490,1
20250512100050490,1
20250512100050491,1
20250512100050491,1
20250512100050492,0
20250512100050492,0
20250512100050493,0
20250512100050493,0
20250512100050494,0
20250512100050494,0
20250512100050495,1
20250512100050495,1
20250512100050496,1
20250512100050496,1
20250512100050497,1
20250512100050497,1
20250512100050498,1
20250512100050498,1
20250512100050499,0
20250512100050499,0
20250512100050500,1
20250512100050500,1
20250512100050501,1
20250512100050501,1
20250512100050502,1
20250512100050502,1
20250512100050503,1
20250512100050503,1
20250512100050504,0
20250512100050504,0
20250512100050505,0
20250512100050505,0
20250512100050506,0
20250512100050506,0
20250512100050507,1
20250512100050507,1
20250512100050508,1
20250512100050508,1
20250512100050509,1
20250512100050509,1
20250512100050510,1
20250512100050510,1
20250512100050511,0
20250512100050511,0
20250512100050512,0
20250512100050512,0
20250512100050513,0
20250512100050513,0
20250512100050514,0
20250512100050514,0
20250512100050515,1
20250512100050515,1
20250512100050516,1
20250512100050516,1
20250512100050517,0
20250512100050517,0
20250512100050518,1
20250512100050518,1
20250512100050529,1
20250512100050529,1
20250512100050529,1
20250512100050530,1
20250512100050530,1
20250512100050530,1
20250512100050531,1
20250512100050531,1
20250512100050532,1
20250512100050532,1
20250512100050532,1
20250512100050532,1
20250512100050532,1
20250512100050533,0
20250512100050533,0
20250512100050533,0
20250512100050534,1
20250512100050534,1
20250512100050534,1
20250512100050534,1
20250512100050534,1
20250512100050535,0
20250512100050535,0
20250512100050535,0
20250512100050535,0
20250512100050535,0
20250512100050536,0
20250512100050536,0
20250512100050536,0
20250512100050536,0
20250512100050536,0
20250512100050537,1
20250512100050537,1
20250512100050537,1
20250512100050537,1
20250512100050537,1
20250512100050538,1
20250512100050538,1
20250512100050538,1
20250512100050538,1
20250512100050538,1
